City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Conceicao Do Araguaia,BR,2020-05-11 00:55:45,-8.26,-49.26,78.8,78,94,2.24,overcast clouds
232,Kerema,PG,2020-05-11 00:55:45,-7.96,145.78,83.32,80,99,9.01,light rain
233,Upata,VE,2020-05-11 00:55:45,8.01,-62.4,80.01,80,35,5.01,scattered clouds
234,Gilgit,PK,2020-05-11 00:55:45,35.92,74.31,62.55,31,85,3.42,overcast clouds
235,Sabha,LY,2020-05-11 00:55:45,27.04,14.43,80.24,16,0,11.21,clear sky
236,Virginia Beach,US,2020-05-11 00:52:46,36.85,-75.98,60.01,67,1,6.93,clear sky
237,Souillac,MU,2020-05-11 00:55:46,-20.52,57.52,71.6,56,40,9.17,scattered clouds
238,Kavaratti,IN,2020-05-11 00:55:46,10.57,72.64,84.97,78,93,12.55,overcast clouds
239,Andenes,NO,2020-05-11 00:54:37,69.31,16.12,35.6,80,89,20.8,light snow
240,Victoria,HK,2020-05-11 00:55:21,22.29,114.16,84.0,70,24,4.0,few clouds
241,College,US,2020-05-11 00:54:02,64.86,-147.8,80.6,18,20,9.17,few clouds
242,Berezovyy,RU,2020-05-11 00:55:46,51.67,135.7,55.96,39,58,9.31,broken clouds
243,Bengkulu,ID,2020-05-11 00:55:46,-3.8,102.27,78.62,87,100,4.09,overcast clouds
244,Saldanha,ZA,2020-05-11 00:55:46,-33.01,17.94,59.0,82,0,6.93,clear sky
245,Richards Bay,ZA,2020-05-11 00:55:46,-28.78,32.04,62.62,82,0,8.25,clear sky
246,Batagay-Alyta,RU,2020-05-11 00:55:47,67.8,130.41,28.54,94,98,7.2,overcast clouds
247,Mahebourg,MU,2020-05-11 00:55:04,-20.41,57.7,71.6,56,40,9.17,scattered clouds
248,Krasnyy Chikoy,RU,2020-05-11 00:55:47,50.36,108.75,48.97,47,0,21.9,clear sky
249,Halifax,CA,2020-05-11 00:54:40,44.65,-63.57,42.01,50,51,3.0,broken clouds
250,Gold Coast,AU,2020-05-11 00:55:47,-28.0,153.43,66.99,48,0,12.75,clear sky
251,Dovers,VC,2020-05-11 00:55:47,12.88,-61.18,81.12,75,100,19.98,overcast clouds
252,Guerrero Negro,MX,2020-05-11 00:55:47,27.98,-114.06,65.48,74,100,17.92,overcast clouds
253,Cabo San Lucas,MX,2020-05-11 00:53:46,22.89,-109.91,87.8,16,40,10.29,scattered clouds
254,Lata,PT,2020-05-11 00:55:48,40.16,-8.33,59.0,88,96,1.01,light rain
255,Tongzi,CN,2020-05-11 00:55:48,28.78,105.09,72.0,54,64,5.77,broken clouds
256,Ukiah,US,2020-05-11 00:55:48,39.15,-123.21,80.6,18,1,8.05,clear sky
257,Hongjiang,CN,2020-05-11 00:55:48,27.11,110.0,75.13,72,99,3.24,overcast clouds
258,Sao Filipe,CV,2020-05-11 00:55:48,14.9,-24.5,73.24,79,0,8.37,clear sky
259,Chabahar,IR,2020-05-11 00:55:48,25.29,60.64,82.71,71,5,8.48,clear sky
260,Irbeyskoye,RU,2020-05-11 00:55:48,55.64,95.45,63.39,59,100,2.73,overcast clouds
261,Colares,PT,2020-05-11 00:55:48,38.8,-9.45,61.0,85,99,19.13,light rain
262,Geraldton,AU,2020-05-11 00:55:48,-28.77,114.6,62.6,63,98,3.36,overcast clouds
263,Toshkivka,UA,2020-05-11 00:55:48,48.78,38.58,49.17,91,71,9.08,broken clouds
264,Starosubkhangulovo,RU,2020-05-11 00:55:49,53.1,57.44,52.38,69,100,0.25,overcast clouds
265,Kensington,AU,2020-05-11 00:54:20,-33.92,151.22,62.01,44,0,11.41,clear sky
266,Praia,CV,2020-05-11 00:55:49,14.92,-23.51,71.6,78,20,17.22,few clouds
267,Prainha,BR,2020-05-11 00:55:49,-1.8,-53.48,76.03,89,55,3.06,broken clouds
